_input,_num,_widgetName,_source,_resultNumber,_pageUrl,name,month_price,price
webpage/url:http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/|,1,Vodafone Mobiles,Vodafone Mobiles,1,http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/,Tarjeta SIM Suelta Contrato Sin Compromiso,,
webpage/url:http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/|,2,Vodafone Mobiles,Vodafone Mobiles,2,http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/,Samsung Galaxy S6,15,0
webpage/url:http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/|,3,Vodafone Mobiles,Vodafone Mobiles,3,http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/,Vodafone Smart Prime 6,,0
webpage/url:http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/|,4,Vodafone Mobiles,Vodafone Mobiles,4,http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/,Apple iPhone 6,21,0
webpage/url:http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/|,5,Vodafone Mobiles,Vodafone Mobiles,5,http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/,LG G3 S,,0
webpage/url:http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/|,6,Vodafone Mobiles,Vodafone Mobiles,6,http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/,Samsung Galaxy A5,8,0
webpage/url:http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/|,7,Vodafone Mobiles,Vodafone Mobiles,7,http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/,HTC One M9,15,0
webpage/url:http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/|,8,Vodafone Mobiles,Vodafone Mobiles,8,http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/,Samsung Galaxy S6 Edge,20,0
webpage/url:http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/|,9,Vodafone Mobiles,Vodafone Mobiles,9,http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/,Apple iPhone 6 Plus,21,99
webpage/url:http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/|,10,Vodafone Mobiles,Vodafone Mobiles,10,http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/,LG G4,15,0
webpage/url:http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/|,11,Vodafone Mobiles,Vodafone Mobiles,11,http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/,Sony Xperia M4 Aqua,5,0
webpage/url:http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/|,12,Vodafone Mobiles,Vodafone Mobiles,12,http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/,Huawei P8 Lite,5,0
webpage/url:http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/|,13,Vodafone Mobiles,Vodafone Mobiles,13,http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/,Sony Xperia Z3 Compact,8,0
webpage/url:http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/|,14,Vodafone Mobiles,Vodafone Mobiles,14,http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/,Samsung Galaxy S5 Ed.32Gb,9,0
webpage/url:http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/|,15,Vodafone Mobiles,Vodafone Mobiles,15,http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/,Alcatel OT Pop C7,,0
webpage/url:http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/|,16,Vodafone Mobiles,Vodafone Mobiles,16,http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/,LG G3,7,0
webpage/url:http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/|,17,Vodafone Mobiles,Vodafone Mobiles,17,http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/,Samsung Galaxy Note 4,18,0
webpage/url:http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/|,18,Vodafone Mobiles,Vodafone Mobiles,18,http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/,Huawei Ascend G7,5,29
webpage/url:http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/|,19,Vodafone Mobiles,Vodafone Mobiles,19,http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/,Huawei P8,12,0
webpage/url:http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/|,20,Vodafone Mobiles,Vodafone Mobiles,20,http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/,HTC One M8 Plata,13,0
webpage/url:http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/|,21,Vodafone Mobiles,Vodafone Mobiles,21,http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/,Sony Xperia Z3,11,0
webpage/url:http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/|,22,Vodafone Mobiles,Vodafone Mobiles,22,http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/,Samsung Galaxy Note Edge,22,0
webpage/url:http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/|,23,Vodafone Mobiles,Vodafone Mobiles,23,http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/,Nexus 6,16,0
webpage/url:http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/|,24,Vodafone Mobiles,Vodafone Mobiles,24,http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/,Vodafone Smart First 6,,0
webpage/url:http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/|,25,Vodafone Mobiles,Vodafone Mobiles,25,http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/,Vodafone Smart 4 Turbo,,0
webpage/url:http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/|,26,Vodafone Mobiles,Vodafone Mobiles,26,http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/,LG Leon,3,0
webpage/url:http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/|,27,Vodafone Mobiles,Vodafone Mobiles,27,http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/,BlackBerry Classic,10,0
webpage/url:http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/|,28,Vodafone Mobiles,Vodafone Mobiles,28,http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/,Samsung Galaxy A3,7,0
webpage/url:http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/|,29,Vodafone Mobiles,Vodafone Mobiles,29,http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/,LG Optimus L70,,0
webpage/url:http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/|,30,Vodafone Mobiles,Vodafone Mobiles,30,http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/,Samsung Galaxy Core Prime,3,0
webpage/url:http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/|,31,Vodafone Mobiles,Vodafone Mobiles,31,http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/,Samsung Galaxy Alpha,9,0
