_input,_num,_widgetName,_source,_resultNumber,_pageUrl,name,price
webpage/url:http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/prepago/|,1,Vodafone Prepago Mobiles,Vodafone Prepago Mobiles,1,http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/prepago/,Tarjeta SIM de Vodafone yu,
webpage/url:http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/prepago/|,2,Vodafone Prepago Mobiles,Vodafone Prepago Mobiles,2,http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/prepago/,Tarjeta SIM Internacional,
webpage/url:http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/prepago/|,3,Vodafone Prepago Mobiles,Vodafone Prepago Mobiles,3,http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/prepago/,Tarjeta Vodafone Fácil,
webpage/url:http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/prepago/|,4,Vodafone Prepago Mobiles,Vodafone Prepago Mobiles,4,http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/prepago/,Tarjeta SIM Vodafone Internacional Smartphone,
webpage/url:http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/prepago/|,5,Vodafone Prepago Mobiles,Vodafone Prepago Mobiles,5,http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/prepago/,Vodafone Smart First 6,59
webpage/url:http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/prepago/|,6,Vodafone Prepago Mobiles,Vodafone Prepago Mobiles,6,http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/prepago/,Doro Liberto® 820 Mini,129
webpage/url:http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/prepago/|,7,Vodafone Prepago Mobiles,Vodafone Prepago Mobiles,7,http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/prepago/,Alcatel OT Pop C7,119
webpage/url:http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/prepago/|,8,Vodafone Prepago Mobiles,Vodafone Prepago Mobiles,8,http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/prepago/,Vodafone Smart Prime,129
webpage/url:http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/prepago/|,9,Vodafone Prepago Mobiles,Vodafone Prepago Mobiles,9,http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/prepago/,Samsung Galaxy Core Prime,134
webpage/url:http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/prepago/|,10,Vodafone Prepago Mobiles,Vodafone Prepago Mobiles,10,http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/prepago/,Doro 508,29
webpage/url:http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/prepago/|,11,Vodafone Prepago Mobiles,Vodafone Prepago Mobiles,11,http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/prepago/,Sony Xperia M,110
webpage/url:http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/prepago/|,12,Vodafone Prepago Mobiles,Vodafone Prepago Mobiles,12,http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/prepago/,Alcatel OT 2010,45
webpage/url:http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/prepago/|,13,Vodafone Prepago Mobiles,Vodafone Prepago Mobiles,13,http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/prepago/,Samsung E1270,29
webpage/url:http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/prepago/|,14,Vodafone Prepago Mobiles,Vodafone Prepago Mobiles,14,http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/prepago/,Nokia 130,29
webpage/url:http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/prepago/|,15,Vodafone Prepago Mobiles,Vodafone Prepago Mobiles,15,http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/prepago/,Alcatel 20.12,45
webpage/url:http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/prepago/|,16,Vodafone Prepago Mobiles,Vodafone Prepago Mobiles,16,http://www.vodafone.es/tienda/particulares/es/catalogo-moviles/prepago/,Vodafone Smart 4,95
